time,hat{D_{q}},theta,e_{theta},tau_{q}
9.5,-0.757037888637141,0.178279676093264,-0.003746750893831,5.36059774458408
9.6,-0.851954935760733,0.177791296800366,-0.003258371600933,3.07403448969126
9.7,-0.905289830507637,0.177263941323138,-0.002731016123705,8.45685973763466
9.8,-0.9999072096425,0.176772806991205,-0.002239881791772,10.9334759414196
9.9,-1.00994653996792,0.176230135900199,-0.001697210700766,15.6619921326637
10,-1.05851425718638,0.175616322907107,-0.001083397707674,24.5432555675507
10.1,-1.5678750536163,0.18581524875016,0.163250601648706,100
10.2,-1.33489484035351,0.203817183972636,0.14524866642623,99.9885082244873
10.3,-1.3450452751662,0.221952095191582,0.127113755207284,99.5416224002838
10.4,-1.39414957900553,0.239008460689733,0.110057389709133,99.9980390071869
10.5,-1.43981220092708,0.254837137626999,0.094228712771867,99.766343832016
10.6,-1.46648548695611,0.26949742819957,0.079568422199296,99.9812364578247
10.7,-1.5238457604437,0.283109991935195,0.065955858463671,99.3421614170074
10.8,-1.55429094829436,0.295757427553557,0.053308422845309,98.5530376434326
10.9,-1.53442942339923,0.307495369646236,0.04157048075263,96.894097328186
11,-1.45136713448723,0.318152238174253,0.030913612224613,93.2202339172363
11.1,-1.42197672996712,0.327324448670487,0.021741401728379,87.0381116867065
11.2,-1.44196052744145,0.334373727810751,0.014692122588115,73.9035844802856
11.3,-1.40617134612698,0.339139565265005,0.009926285133861,64.7067427635193
11.4,-1.42623157979219,0.342205780385869,0.006860070012997,57.2894275188446
11.5,-1.28596116735247,0.343863503082293,0.005202347316573,52.0950078964233
11.6,-1.15517545929447,0.344861216849827,0.004204633549039,43.6918705701828
11.7,-1.10282854146435,0.345661943519239,0.003403906879627,41.9288456439972
11.8,-0.994045982126406,0.346388273786549,0.002677576612317,39.9098843336105
11.9,-0.870020785049229,0.347166811072472,0.001899039326394,29.7707408666611
12,-0.827178617621024,0.347758783669355,0.001307066729511,30.547758936882
12.1,-0.693332633450447,0.348284477301288,0.000781373097578,28.9128363132477
12.2,-0.642603052087215,0.348753982424032,0.000311867974834,26.4052003622055
12.3,-0.506080167571773,0.349274637107683,-0.000208786708818,19.0612688660622
