time,desired_D_u,hat{D_{u}},desired_D_v,hat{D_{v}},desired_D_w,hat{D_{w}},desired_D_q,hat{D_{q}},desired_D_r,hat{D_{r}},desired_x,x,desired_y,y,desired_z,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
27.6,-5.61595143775303,-5.43458672495728,-0.360638109279743,-0.358579735937372,0.276299589673083,0.275565109870021,1.12337002470782,1.08403942252437,-2.27725091207989,-1.87654853014308,-8.40609403551068,-7.80721932337809,-5.41641791834343,-6.20654196115124,-11.9000000000027,-11.7327121703422,0.005451213041865,-0.002583061570334,-0.005220322501496,22.5834420535172,-23.889140101922,-31.3887023911063
27.7,-5.84662434721611,-5.77365672075407,-0.528763617089439,-0.531862007134758,0.213761230783969,0.218521231962068,0.910048711332697,1.17257616134193,-2.52957568680123,-2.16289297370116,-8.4863915897376,-7.89938495563854,-5.28972190059468,-6.08865565744431,-11.9250000000027,-11.7574744190554,0.005453507916651,-0.003549108567176,-0.004636966493833,19.7637951918806,21.5997687855193,-5.29942675801118
27.8,-6.04360575117862,-5.92906629688921,-0.699894603756818,-0.702365354829385,0.142391022984037,0.134378034782887,0.659896411556354,0.973490830323294,-2.75348001919656,-2.34359538145939,-8.56477974165852,-7.98944172304794,-5.16183571773413,-5.96977939258743,-11.9500000000028,-11.7820550052049,0.005978299304633,-0.005317002590045,-0.003478304603367,18.8953936661023,22.108536008933,-6.15175629071316
27.9,-6.20534146866787,-6.10138350384945,-0.872877071928591,-0.870447663776575,0.063240847713597,0.057539802970633,0.374287856141139,0.654164616761229,-2.94158809280773,-2.78806038631759,-8.64124085426996,-8.07754105666972,-5.03278814361342,-5.84950282348869,-11.9750000000028,-11.8064854965156,0.006567170150039,-0.00662081522148,-0.00222963364445,21.4307161535572,24.1230630233907,-6.70958287583031
28,-6.33066355508391,-6.30614825016736,-1.04651625495286,-1.04101423732412,-0.022583101172858,-0.029904545157289,0.05532059336421,0.014859362417889,-3.08724441309971,-2.78197336213754,-8.71575772414414,-8.16391081024301,-4.90260821339231,-5.72741438994046,-12.0000000000028,-11.8308929527755,0.006696299127069,-0.006823467340549,0.000110909074055,17.7203438473391,-12.782004400069,25.6878803970115
28.1,-6.41880172370654,-6.37049574973647,-1.21958657528001,-1.2150518252468,-0.113930668298516,-0.119994813074505,-0.294206483544034,0.075300708893448,-3.18471789774919,-2.99662817049489,-8.78831358529972,-8.24845858078837,-4.77132521700591,-5.60350663309316,-12.0250000000028,-11.8554136620369,0.006344305494719,-0.006421008728406,0.001142336113531,5.92749838354651,5.06402336012969,-3.61353140544429
28.2,-6.46938903237299,-6.32318474228596,-1.39084191374579,-1.38861834863339,-0.209618368776752,-0.209293699673573,-0.670827094122175,-0.32072683849596,-3.22938304273129,-3.12233712657567,-8.85889211297401,-8.33098491269277,-4.63896869257455,-5.47817414520549,-12.0500000000029,-11.8800829115182,0.005894438195857,-0.00562708726375,0.001313618365592,49.0775934594414,29.4820847181346,-37.6834258796347
28.3,-6.48246180370767,-6.35635113538286,-1.55902610082208,-1.55904413810767,-0.308440210696962,-0.30933353062208,-1.07045351630351,-0.699944624968933,-3.2178731515791,-3.15575429700779,-8.92747742729605,-8.4116202805156,-4.50556841975787,-5.35150067632995,-12.0750000000029,-11.9049599721954,0.005297761685757,-0.004614601481227,0.001340945252408,12.4265209418633,28.3090783453669,-7.69872015811039
28.4,-6.45845383478022,-6.39540055996595,-1.72288353909759,-1.71828344086308,-0.409178616238634,-0.416134023717402,-1.48843381804344,-1.01516793953809,-3.14820133161746,-3.08313858162817,-8.99405409685946,-8.49029287538225,-4.37115441305446,-5.22377923499629,-12.1000000000029,-11.9300283068403,0.004805867683958,-0.002931603012457,0.001369876334827,0.189186132017952,-2.8371487976369,25.8220125402158
28.5,-6.39818503805687,-6.31649166556931,-1.88116986520622,-1.88251712544995,-0.510615349129528,-0.514004090116723,-1.91961947967365,-1.49701729219515,-3.01984579079423,-3.22659096261005,-9.05860714219446,-8.56675627708466,-4.23575691504878,-5.09548551943516,-12.125000000003,-11.9552548729133,0.004919874855739,-0.00145030031429,0.001468029354219,36.6646018645439,24.3327845613297,6.47817111154537
