time,x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
19.2,16.9148505395721,34.5983990529031,-11.6722976093433,0.11206248263204,0.001964191539166,0.046710577350623,62.2092051035869,19.005119056011,-3.70625765111416
19.3,17.0308460078375,34.8041784110643,-11.7597212236827,0.110053841331011,0.00391143595742,0.046927216807841,55.1114071333703,59.8526711806074,4.4062781147841
19.4,17.1468721449896,35.0099145379358,-11.8475563081898,0.107927758579671,0.005718414079332,0.046581802172805,56.8912218617675,103.112240267525,-39.3309088345972
19.5,17.262836421542,35.2153931375594,-11.9355875611359,0.105978561083801,0.007089712766639,0.045353837093952,60.8449447366297,60.1025586686013,-19.4782122666522
19.6,17.3780273415107,35.4195820123915,-12.0232481057897,0.105568791980303,0.008674266680601,0.043290620424537,30.912659535444,58.4420521909182,8.61194230900989
19.7,17.4924040846492,35.6227871205958,-12.1106653483412,0.106416666138077,0.011199433581293,0.039943681584288,31.3064839742583,59.7725697733127,-5.87375394416646
19.8,17.6062213041973,35.8259125897483,-12.1983185515926,0.107493868706126,0.014550065401193,0.036211507969166,50.4742923839179,55.4658073282342,0.793069755727442
19.9,17.7196594378676,36.0296358557461,-12.2865931617262,0.108027668285818,0.017069746377165,0.032854887623119,66.8599498586451,25.9285133273054,16.9209358976721
20,17.8320583043839,36.2326500139483,-12.3747017880475,0.109668752071605,0.017879431975916,0.029604558168525,28.1738967912514,69.0967674966847,22.1730313375321
20.1,17.9431307763385,36.434300124337,-12.4620814480098,0.113284834317989,0.01836672083394,0.027938519519454,11.3603737289769,60.1889454888555,44.2610223964595
20.2,18.0538538691703,36.6357081824018,-12.5491210780653,0.117386649364829,0.017726189062731,0.02757497513097,38.2746660232055,31.9042914330367,-0.493456053932007
20.3,18.1648327147427,36.8372259487284,-12.6358991406215,0.121390483706084,0.017063184065537,0.028508663047753,-12.7973575418991,1.80810517960164,28.7821767949336
20.4,18.2762475719702,37.0384689460208,-12.7221756646826,0.125615765964786,0.01426361511549,0.028364175232749,51.6433516950793,57.9655807857329,17.9572663051188
20.5,18.3887492457263,37.2405805611277,-12.8081420137311,0.128755249425613,0.011237386685321,0.028034230127189,39.4840206497098,19.7773592287523,-4.15424182725389
20.6,18.5025940629656,37.4442783346143,-12.8939580776222,0.130040648761621,0.006551638454169,0.028401121517187,49.9350466982902,30.1361988837842,3.45505034109793
20.7,18.6180907696816,37.65006980109,-12.9796321502539,0.128907742182383,0.002263476699946,0.030233893177171,14.8895163612289,72.5360190497611,7.08446651721033
20.8,18.735784828706,37.8584753221854,-13.0656108730476,0.12453004854062,0.000397377044003,0.032619227364924,50.8595638015428,87.5804473974758,-0.889284711098219
20.9,18.8535134721378,38.0653786583143,-13.1507016747249,0.12168570353518,1.54746542907982E-05,0.034013869408569,13.9754856212969,98.3930262623042,27.6456352561317
21,18.9704560658712,38.2695443109867,-13.2348256942878,0.121790083061783,7.26352899288448E-05,0.032776389877973,50.0642651588862,15.5944963854157,11.0645335733654
21.1,19.0865804735757,38.4718818429282,-13.3183423057735,0.123980964772776,-0.001926702418969,0.029590244036941,3.46559640180337,26.996592961735,28.2148422596953
21.2,19.2021767869924,38.6739641850299,-13.4015306305151,0.126731020000757,-0.004075361365362,0.024958973471657,30.0902855395083,-4.35681756305761,23.9634207844687
21.3,19.3171285892279,38.8764285058967,-13.4845418120603,0.129514045318441,-0.004973296085508,0.021487725686212,44.8954072982013,52.3107948309597,1.42704423506308
21.4,19.4320361470255,39.0803539740315,-13.568077613269,0.130932065353127,-0.004042547015023,0.01916045389068,47.095858548087,58.4478972271159,29.1601342521401
21.5,19.5478223298005,39.2867970314976,-13.6529053856307,0.129438925799607,-0.00412788447184,0.017289114472915,42.2195806356751,32.8843900829824,-38.1434553686443
21.6,19.6642778060602,39.4948939846147,-13.7385814742547,0.125994501188705,-0.005730281675852,0.017181165379699,28.0577221101046,53.2426689542619,-34.8051609195391
21.7,19.7815819903447,39.7043455957738,-13.8247803740713,0.12087691983303,-0.00757998898388,0.019955677217558,30.9728741068803,24.6326238855444,4.71261390098747
21.8,19.8983685133651,39.9115729723386,-13.9099870868116,0.11817055984172,-0.009911395058198,0.023405501944447,48.5394306209471,31.1717166578554,-9.34918998421856
21.9,20.0138915427551,40.1145156504718,-13.9933889220879,0.120186246361436,-0.01144640143566,0.027066965218165,25.4740092756508,42.7410761954873,-14.908350767809
22,20.1296032274196,40.3155589999264,-14.0761014894269,0.123919004830242,-0.012910645674154,0.030634361805393,23.9121462405782,33.1606476891564,27.5171902621579
22.1,20.2464398637513,40.5164100051856,-14.1588179310564,0.127302000910053,-0.015226396208771,0.033941788453568,50.7733385263704,45.5473053270905,17.9769885000685
22.2,20.3648048147153,40.718022623836,-14.241807444525,0.129276696920338,-0.017416294178694,0.03640562717351,39.0226672152575,48.4417516940255,0.676059615519203
22.3,20.4842040467455,40.9200406528131,-14.3249304870882,0.130409619312597,-0.018353849743266,0.038337199485919,11.64866490387,44.8048767332573,-15.385570406733
22.4,20.603898890035,41.1217114742981,-14.4080304748914,0.131708768536435,-0.018749089732321,0.039466510291352,34.8103523835555,23.7347210184501,10.0163055845487
22.5,20.7237966980922,41.323357818542,-14.4913435175115,0.132868753028144,-0.01892883416846,0.039477084769503,32.8518688186061,71.4505789256225,22.1154950670128
22.6,20.8441005196075,41.5258274021039,-14.5752112023158,0.132981257538876,-0.018875536233399,0.038858393631977,35.9444491175306,63.8998536094136,3.38353516065208
22.7,20.9641063494361,41.7284012046747,-14.6593300137084,0.13305752875284,-0.01848957471732,0.038561076654467,38.7310121430849,40.5372783443338,5.44958566491632
22.8,21.0838137394094,41.931162220946,-14.7437351287769,0.133015269011969,-0.018808954437995,0.037879892154147,17.1560849517811,57.4110574254161,18.0525713442088
22.9,21.203282322195,42.134236742815,-14.8283899622395,0.132735191378457,-0.018475343619841,0.037618452690074,49.9817889872741,72.2940807978015,-1.08975715546318
23,21.3226219893569,42.3377455292301,-14.9134282519106,0.132020812448148,-0.017005600665776,0.037339813537494,4.67153990635566,14.8175302921401,-18.1380926431237
23.1,21.4414603282194,42.5409024569459,-14.9987110753006,0.131733276727962,-0.015454440441258,0.037098535681338,52.229421585972,34.8866866912722,-43.0206158269086
23.2,21.5600500997524,42.7440482225635,-15.0844029489817,0.131421244679075,-0.013867381725344,0.037173149098165,43.4538659425461,59.3500888055579,-16.0309295603517
23.3,21.6783840615513,42.9470465047345,-15.1704553718701,0.131217306697077,-0.012202003759221,0.037255386437619,16.7167306377627,14.865022317281,4.51487992783536
23.4,21.7964097280397,43.1496832427588,-15.2567000812209,0.131380696497402,-0.011301239605289,0.037215473575917,38.1149886311355,95.6869580780227,-10.8749100409976
23.5,21.9143147911035,43.3523008143039,-15.3431426234883,0.131544174158731,-0.010029763863021,0.037002459552752,21.3808544792243,12.894892493403,-10.06052757368
23.6,22.0319081629536,43.5546038838191,-15.4296170882077,0.132094324675159,-0.009242281693552,0.036730249985024,19.5096602888823,19.1583647290643,9.16739094173864
23.7,22.1491179144031,43.7564984459756,-15.5159896454656,0.133187539902108,-0.008648582374714,0.036674932424377,18.2077178050557,43.0608082072726,14.4634048472071
23.8,22.266169916316,43.9583232458852,-15.602293595388,0.134432679897213,-0.008794312942489,0.03630692851088,48.6101565840087,53.9129192214115,19.0787087237423
23.9,22.3832915997888,44.1604721179216,-15.6885674773007,0.135390259685049,-0.008822155094753,0.035388820111542,41.4734457632152,8.9431702200453,-5.29965910762789
24,22.5002123562094,44.3626605943164,-15.7746491612015,0.136470884333913,-0.008635960377041,0.035268974169104,16.5673264991989,69.2187947999093,-4.88921557865858
24.1,22.6167289481384,44.5644488894504,-15.8603810897651,0.138182641609944,-0.009234712438103,0.0356297410136,15.9303217376894,23.5345796064262,16.7462861446715
24.2,22.7331078192412,44.766012316549,-15.9457465310194,0.1402689324236,-0.010200409506559,0.036195996719931,26.4554937101173,39.8233166253025,30.1950949782225
24.3,22.8496815624968,44.9677317734995,-16.0308749905134,0.142222894890232,-0.011196219598887,0.035825948237479,54.7231397987197,35.2849191729711,-14.2608338401541
24.4,22.9663995703332,45.1697053683568,-16.1157903475017,0.143977045693692,-0.011589677501456,0.035559702039299,3.49489461072961,12.5890260718861,-28.1916480291683
24.5,23.0832229856192,45.372037816518,-16.2006309200771,0.145413610403995,-0.011965720446374,0.036342728955804,54.2956095623243,63.1286070069765,-1.7774609659012
24.6,23.2001564629034,45.5744443829836,-16.285305913674,0.146798031991537,-0.013279724568535,0.036839444405352,57.2508025097031,57.1632793882484,-18.7922849436388
24.7,23.3175467968097,45.7773524330623,-16.3699236410558,0.147586461826832,-0.014308580821537,0.035945115909561,35.7108485622715,1.11715478798707,-7.99267371528713
24.8,23.4353422505261,45.9810929704687,-16.4546228459117,0.147479413906288,-0.015275378219336,0.034566017214809,18.044788671027,41.8189409953864,7.18845471532544
24.9,23.5528631463924,46.1849570404544,-16.5390674600208,0.147479772267414,-0.016463447803737,0.034150270428924,38.9507044596289,-1.04700540719588,-5.83399924382641
25,23.6708376033223,46.3900208514261,-16.6237638142969,0.14620055933133,-0.016558511018739,0.033809920534814,37.2177319992788,1.98485504252301,-38.3652897999595
25.1,23.7893306723926,46.5962311188656,-16.7089032574252,0.143590766163145,-0.016649701736861,0.03420933486366,41.0933846524967,25.6683166702121,-21.1014297560956
25.2,23.9089137332463,46.8043100101391,-16.7948320593998,0.138680819208231,-0.017316642998007,0.034529983932573,33.9867053921121,66.9405023452742,-13.560850298375
25.3,24.0292932886792,47.0135890942215,-16.8812551490138,0.132255999505321,-0.017061859628768,0.034729506851998,23.3551507257502,22.2268186072201,21.6040871196636
25.4,24.1497516462649,47.2228397473137,-16.9678867003601,0.125747703901599,-0.014710918770621,0.034338382912841,21.3702243583091,45.7531151102981,8.83577928667022
25.5,24.2692680971512,47.4305099870059,-17.0544545216651,0.120982325079016,-0.011214160734791,0.03342052377448,31.9301214899671,31.6863196281976,-13.3992744387073
25.6,24.3876114806293,47.636396094482,-17.1410608698304,0.11819320078971,-0.007912278766998,0.031826425062839,13.5057754097065,27.7647378276613,9.46528735842918
25.7,24.5050094037944,47.8411885159817,-17.227925838655,0.116632448904702,-0.004752950296248,0.030130914153725,23.0602021198836,28.9563822061662,17.7466096536688
25.8,24.6213978698087,48.0449233457313,-17.3149285063461,0.11634206325132,-0.002650176913522,0.029465494732174,20.8455156156316,9.89091491101029,-19.1855489097434
25.9,24.7370604840576,48.247761284601,-17.4018842829091,0.117130807137091,-0.00175994584307,0.02832840298495,14.5361922467131,37.3249741365683,2.1260539948795
26,24.8525363250436,48.4505027373912,-17.4888072379598,0.118095604369418,-0.002086820808953,0.026488783692811,28.2452013918253,71.0111318667619,-8.83700199322608
26.1,24.9678529805885,48.653404685185,-17.5755198742548,0.119074094896348,-0.00250590972654,0.025960302679223,38.9612978655612,59.6005133399208,-12.7674810914966
26.2,25.0829772130075,48.8561722778486,-17.6618306125015,0.120391266379148,-0.003243471723364,0.02644918884298,25.9804957711509,27.0583258715799,21.8324339115961
26.3,25.1983055754059,49.0589468456465,-17.7478094148979,0.121729748777508,-0.004003889689618,0.026875614812655,56.792798835094,65.3587439402681,30.5296758566904
26.4,25.3145383442677,49.2627567741999,-17.8338931784518,0.121776520687437,-0.005260479544209,0.027608699505982,12.8869704194165,14.7941678579006,20.4463063022548
