time,hat{D_{v}},hat{D_{r}},psi,e_{psi},tau_{r}
14.1,0.672885303340151,0.116465756546876,2.09789753810457,-0.003502435711379,-2.69298754061403
14.2,0.230890169466211,0.884467542090407,2.09801107646998,-0.003615974076784,1.59030911334516
14.3,-0.218222010083001,1.59798237703055,2.09833666941589,-0.003941567022694,-1.78869571511879
14.4,-0.670215299106294,2.24309052578676,2.09839785221267,-0.004002749819476,-0.716050260286215
14.5,-1.11983105553525,2.85799738582603,2.09842379329841,-0.00402869090522,-7.11473499056331
14.6,-1.56937186836191,3.43572617556911,2.09804464854149,-0.0036495461483,-7.35971302773815
14.7,-2.00893741996629,3.96299999529383,2.09764825255448,-0.003253150161282,-3.92414563657603
14.8,-2.4415556826597,4.48680689329343,2.09785823422502,-0.003463131831823,-0.786149331872037
14.9,-2.86935042026623,4.92242600142367,2.09810923997381,-0.003714137580619,-7.90718558549293
15,-3.28234317606196,5.20514172733316,2.09825335277447,-0.003858250381278,-5.1012308080543
15.1,-3.67534809703271,5.50165284449615,2.09847773981061,-0.004082637417414,1.7297257108017
15.2,-4.05785325590752,5.79362001364811,2.09893981332336,-0.004544710930163,-5.72256075313075
15.3,-4.4222359393118,5.90828000650136,2.09921678469397,-0.004821682300777,-6.23919186264603
15.4,-4.76193214981231,5.91978087428506,2.09920057720876,-0.004805474815568,-8.14649156633314
15.5,-5.0770661892519,5.99563586621841,2.09914339710817,-0.004748294714972,-11.2209604969557
15.6,-5.3707269102352,5.94549237773123,2.09928208190101,-0.004886979507815,1.17870734050569
15.7,-5.63560169050555,5.91163348013279,2.09949781339339,-0.005102711000191,-1.66123259419319
15.8,-5.87774998893758,5.72376491117135,2.09956729463437,-0.00517219224117,0.949913844588843
15.9,-6.08449188160759,5.49855785742757,2.09960376629953,-0.005208663906334,-6.94461822808144
16,-6.26655117150889,5.26391596661062,2.09970300059493,-0.005307898201739,-2.62297646270246
16.1,-6.41516353217185,5.13572950203895,2.09952589457089,-0.005130792177699,-0.594570080833425
16.2,-6.53174273079732,4.843921966863,2.09934803373146,-0.004952931338264,-7.02752173693212
16.3,-6.62074692229341,4.64462807158629,2.09942518891367,-0.00503008652047,0.375461748441058
16.4,-6.67611472665864,4.42699858988171,2.09976651262147,-0.005371410228273,-13.2313534065569
16.5,-6.69876737764558,4.16580012337685,2.09967022824424,-0.005275125851044,-5.01061810450078
16.6,-6.68856673375875,3.95474088498434,2.09951613035504,-0.005121027961849,-0.878319229269831
16.7,-6.65446951969341,3.74671693159212,2.09934980685458,-0.00495470446138,1.09139432000051
16.8,-6.5811879948007,3.47376092535908,2.09940312968113,-0.00500802728793,-2.65377936152274
16.9,-6.48070342761882,3.29779412579337,2.09935933690756,-0.004964234514364,1.15048374998768
17,-6.35138215928195,3.13416117800062,2.09934570161152,-0.00495059921833,-3.86180154977029
17.1,-6.19588830882676,2.95227706562811,2.09951810325954,-0.005123000866347,-3.2383778471508
