time,desired D_u,hat{D_{u}},desire_u,u,e_{u},tau_{u}
20.3,3.03535056967579,3.02553851639911,2,2.03620775167052,-0.036207751670516,11.2535126086505
20.4,3.41424779632606,3.35674305063371,2,2.01719160155622,-0.017191601556219,15.2204943766009
20.5,3.75153629549898,3.68444856484167,2,2.00974263049743,-0.009742630497433,16.1928734533048
20.6,4.04600532238981,3.98855301331054,2,2.00676264120462,-0.006762641204618,16.4261257391118
20.7,4.2970464351824,4.23745166502226,2,2.00559361521132,-0.00559361521132,16.5045057610489
20.8,4.5046417532013,4.45312429612445,2,2.00517281555106,-0.005172815551063,15.9020675306959
20.9,4.66934408096641,4.63419428488456,2,2.00473938115222,-0.004739381152218,15.8235905466393
21,4.79224933098067,4.76174895591268,2,2.00464953952476,-0.004649539524759,16.0127734678315
21.1,4.87496178218266,4.84724717476302,2,2.00453081655551,-0.004530816555512,14.981765278793
21.2,4.91955280615156,4.9117081308623,2,2.00452004567608,-0.004520045676076,15.817918584321
21.3,4.92851377809105,4.93363564293649,2,2.00457684747737,-0.004576847477371,15.3292658420298
21.4,4.90470396322464,4.91873471764649,2,2.0045208040502,-0.004520804050197,15.3276667115298
21.5,4.85129423056748,4.8691342451553,2,2.00451213053821,-0.004512130538206,15.463640274765
21.6,4.77170749434074,4.78380976310236,2,2.00450882164481,-0.004508821644809,15.8437171758129
21.7,4.66955681800227,4.67991878787922,2,2.00457319825482,-0.004573198254819,16.3176904102142
21.8,4.54858213661927,4.5813091050735,2,2.00454367805945,-0.004543678059454,15.9341625917801
21.9,4.4125865599492,4.44385506012567,2,2.00454281395876,-0.004542813958763,16.1665936579453
22,4.26537321117062,4.30823157204349,2,2.00438871037326,-0.004388710373255,16.0755004488115
22.1,4.11068353496936,4.13950494815527,2,2.00446336828353,-0.004463368283533,16.575917980178
22.2,3.95213797408398,3.99226162662964,2,2.00445174532916,-0.004451745329155,16.8288716293289
22.3,3.79317986608794,3.83632559568012,2,2.00443767445412,-0.004437674454125,16.8408177396623
22.4,3.63702335295107,3.66635428827018,2,2.00429592474005,-0.004295924740052,17.1232257588604
22.5,3.48660602576181,3.519156481433,2,2.00438176473304,-0.004381764733036,16.5855959995507
22.6,3.3445469470388,3.37356402533696,2,2.00445782679347,-0.004457826793465,17.4876459036525
22.7,3.21311060457948,3.24415503323239,2,2.00444576879398,-0.004445768793975,17.4304625552877
22.8,3.09417725516393,3.12897861782384,2,2.00448090704186,-0.004480907041859,18.0293038409584
22.9,2.98922001512355,3.016777387348,2,2.00444033903514,-0.004440339035144,17.775766500744
23,2.89928894933769,2.90439943242249,2,2.00438052886516,-0.004380528865164,17.3047952873689
23.1,2.82500230222286,2.8360329103748,2,2.00446407255776,-0.004464072557762,17.8506412076672
23.2,2.76654490534092,2.76923439984798,2,2.00443573443159,-0.004435734431586,17.5578091334772
23.3,2.72367368798314,2.73351574823146,2,2.00448313299801,-0.004483132998014,17.6695088060212
23.4,2.69573011107496,2.7114956856624,2,2.00450062595782,-0.004500625957817,17.9830030321225
23.5,2.68165924252903,2.68498989751338,2,2.00454867851724,-0.004548678517244,18.3999535162211
23.6,2.68003509522537,2.65980987105594,2,2.00462047587523,-0.004620475875228,18.1365353032567
23.7,2.68909175849513,2.69155576296869,2,2.00444079722602,-0.004440797226021,18.0583424919027
23.8,2.70675977160294,2.69025371357794,2,2.00438721022473,-0.00438721022473,17.1693687053025
23.9,2.73070711440381,2.71749658014523,2,2.00450249267557,-0.004502492675568,18.0437787112976
24,2.75838412709672,2.75321865850578,2,2.00451543826232,-0.004515438262315,17.8977224749934
24.1,2.78707161865246,2.78121453506401,2,2.0046818908454,-0.004681890845398,17.6698930861289
24.2,2.8139313827332,2.80744545280562,2,2.00455031138667,-0.004550311386668,18.0900339025296
24.3,2.83605831124784,2.825505167333,2,2.00438966366887,-0.004389663668875,17.2631361781679
24.4,2.85053327941469,2.84144672447202,2,2.00455207709821,-0.004552077098212,17.9533844918633
24.5,2.85447597246526,2.85252945980383,2,2.00459975473857,-0.004599754738571,18.1177659098213
24.6,2.84509683286263,2.85324404485294,2,2.00469102017608,-0.004691020176078,17.735423645901
24.7,2.81974732788647,2.83471188901617,2,2.00455714391479,-0.004557143914795,18.1198493445043
24.8,2.7759677702349,2.79161268842308,2,2.00441726715132,-0.004417267151321,18.0623269640199
24.9,2.7115319683196,2.72383563688882,2,2.0045858398002,-0.004585839800196,17.9853600961816
25,2.62448803743282,2.64475385653882,2,2.00458765697955,-0.004587656979555,17.9151650239238
25.1,2.51319476703966,2.53976533015963,2,2.00446260695877,-0.004462606958769,18.1926508823991
