time,hat{D_{w}},theta,e_{theta},tau_{q}
19.2,5.15198325835368,0.349247497499511,-0.000181647100645,39.7339791059494
19.3,5.11915971897079,0.346328944373397,0.002736906025469,43.1448847055435
19.4,5.06681578496866,0.343074322062097,0.005991528336769,51.7835795879364
19.5,4.9874295407766,0.339363204380909,0.009702646017957,66.4866626262665
19.6,4.88151933587424,0.335641542084368,0.013424308314498,72.2568333148956
19.7,4.73981297839695,0.332268001956346,0.01679784844252,78.1791627407074
19.8,4.58310159002861,0.330088585790291,0.018977264608575,79.7076284885407
19.9,4.40372448606835,0.329683226087343,0.019382624311523,80.1743924617767
20,4.20116514566772,0.33155156400946,-0.069752176210311,77.3158550262451
20.1,4.10594905910745,0.317980769740958,-0.056181381941809,-46.6886311769486
20.2,3.79630011869307,0.292425856940758,-0.030626469141609,-33.4443032741547
20.3,3.45498177015545,0.272171252565627,-0.010371864766478,5.3449422121048
20.4,3.1493508225018,0.264674635069209,-0.00287524727006,17.8057953715324
20.5,2.88838848589882,0.265960855040865,-0.004161467241715,-1.33853349834681
20.6,2.61683380641932,0.268889245893893,-0.007089858094744,-11.7135480046272
20.7,2.31424227439381,0.27076052069986,-0.008961132900711,-20.4004019498825
20.8,1.99189648148269,0.27136086515602,-0.009561477356871,-21.6058820486069
20.9,1.65493254066665,0.27100943298626,-0.009210045187111,-15.859055519104
21,1.31382927156858,0.2700344282398,-0.008235040440651,-11.0942721366882
21.1,0.966869842769083,0.268272634798098,-0.006473246998949,1.72817539423704
21.2,0.616591182363032,0.265723754090309,-0.003924366291159,12.2879765927792
21.3,0.262404177782192,0.26292455280789,-0.00112516500874,27.765479683876
21.4,-0.090586023622553,0.260465704992772,0.001333682806377,38.7381881475449
21.5,-0.436339084927122,0.258488036055934,0.003311351743215,48.6041784286499
21.6,-0.774982659464384,0.256756192615159,0.005043195183991,58.9592635631561
21.7,-1.10934022085744,0.254991320716828,0.006808067082321,62.9958868026733
21.8,-1.43769043353284,0.2536268924716,0.00817249532755,66.8560147285461
