time,hat{D_{r}},psi,e_{psi},tau_{r}
24.9,0.160700209671142,1.58142216610613,-0.010625839311236,-19.0035089850426
25,-0.035842743506943,1.57951731041767,-0.008720983622771,-19.6752220392227
25.1,-0.109530298862409,1.57673452361316,-0.00593819681826,-5.67071177065372
25.2,-0.198283008410737,1.57344789056893,-0.002651563774035,-5.17474710941315
25.3,-0.216420326309927,1.57001016057709,0.000786166217811,7.26664885878563
25.4,-0.211232619209089,1.56644436350097,0.004351963293925,11.7542825639248
25.5,-0.184669156563366,1.5634802441978,0.007316082597097,18.8830256462097
25.6,-0.147380053278791,1.56152183365354,0.009274493141354,24.7710883617401
25.7,-0.098371042719276,1.5600323897933,0.010763937001594,21.4155972003937
25.8,-0.002108512451379,1.55873980329763,0.012056523497269,27.8126031160355
25.9,0.099767703893259,1.55786497552181,0.012931351273087,21.5507641434669
26,0.163939927325237,1.5576525007382,0.013143826056695,24.6107771992683
26.1,0.26397348816467,1.55807525181268,0.012721074982221,22.0972672104835
26.2,0.26549895786288,1.55925371657945,0.01154261021545,17.4749404191971
26.3,0.325524313672737,1.56078510074659,0.010011226048304,13.6944234371185
26.4,0.288486756389875,1.56262554482036,0.00817078197454,11.4197492599487
26.5,0.20726847325085,1.56478424272585,0.006012084069045,12.4045178294182
26.6,0.213348547922228,1.56706163015974,0.003734696635157,-0.162338465452194
26.7,0.069193413508726,1.56930935990943,0.001486966885463,-2.29843370616436
26.8,-0.101323271502753,1.57123933385411,-0.00044300705921,-10.6203459203243
26.9,-0.302186806154432,1.57351888943075,-0.002722562635858,-11.1482471227646
27,-0.53376238519692,1.57627187466946,-0.005475547874566,-20.4760700464249
27.1,-0.71492492803936,1.57869112195383,-0.007894795158937,-19.3917572498322
27.2,-0.976577909821718,1.58043639146253,-0.009640064667631,-20.2359303832054
27.3,-1.27384863164802,1.58147616852585,-0.010679841730949,-19.9402987957001
27.4,-1.56477212626605,1.58141488220519,-0.010618555410296,-16.9467762112618
27.5,-1.8839029267076,1.58018483493631,-0.009388508141412,-14.8409590125084
27.6,-2.0725562583675,1.57812632768635,-0.007330000891454,-11.6775467991829
27.7,-2.3667788193526,1.57510444222649,-0.004308115431591,-11.4769443869591
27.8,-2.61958374922746,1.57148763476281,-0.000691307967913,-3.25257927179337
27.9,-2.81449161875419,1.56817827847163,0.002618048323268,0.959932804107666
28,-2.92624188156966,1.56523054693241,0.005565779862487,4.54474501311779
28.1,-3.02044491112212,1.56263473577444,0.008161591020453,21.7524573206902
28.2,-3.15316152163252,1.56127499402036,0.009521332774541,21.169625222683
28.3,-3.17907202567188,1.56085003591242,0.009946290882473,24.8912647366524
28.4,-3.15290844108806,1.56106102751506,0.009735299279833,22.6586550474167
28.5,-3.08408447811203,1.56182209049453,0.008974236300371,17.1623960137367
28.6,-2.9862321867467,1.56334410547772,0.007452221317172,15.9351617097855
28.7,-2.7326410120265,1.56560179319765,0.005194533597247,15.3858810663223
28.8,-2.4989667018819,1.56846914084627,0.00232718594863,11.5420624613762
28.9,-2.23311690834406,1.57177749182727,-0.000981165032375,3.97917479276657
29,-1.87758204507952,1.57546266291373,-0.004666336118837,-3.27081941068172
29.1,-1.44263908654157,1.57900331842268,-0.008206991627781,-11.3695949316025
29.2,-1.00688017317264,1.5820694252832,-0.011273098488305,-14.7951796650887
29.3,-0.595283913808314,1.5861813090341,-0.015384982239208,-21.6366544365883
29.4,-0.180460288498952,1.59097547638044,-0.02017914958554,-31.2599360942841
29.5,0.305620057335004,1.59482251978773,-0.024026192992835,-31.8651616573334
29.6,0.773028926400599,1.5971430219624,-0.0263466951675,-35.1659625768661
29.7,1.12502418642837,1.59781907667328,-0.027022749878385,-32.2605907917023
29.8,1.53468508694916,1.59686359635298,-0.026067269558079,-32.3509901762009
29.9,1.89679257919449,1.59424880215546,-0.023452475360563,-24.03953820467
