time,hat{D_{u}},u,e_{u},tau_{u}
19.2,-3.11074405785384,2.50396351234755,-0.003963512347553,36.7460891592103
19.3,-2.53385344755884,2.50408957666996,-0.004089576669962,36.1425552727007
19.4,-1.91221959443196,2.50409378553467,-0.004093785534671,36.1230773434173
19.5,-1.30071180852124,2.5038789458913,-0.003878945891302,36.2799419740028
19.6,-0.713555310907179,2.50413838076349,-0.004138380763492,34.4617826687716
19.7,-0.128303173861023,2.50410244030751,-0.004102440307509,34.6727025545449
19.8,0.45645375006775,2.50402974627835,-0.004029746278346,33.8465468192758
19.9,1.00229353785967,2.50405726097101,-0.004057260971013,33.4103676569417
20,1.53871563959825,2.504064202183,-0.504064202182996,32.375141105168
20.1,2.38169179761021,2.21175796182806,-0.211757961828058,-25.1580779393872
20.2,2.73677464308765,2.08523230612958,-0.085232306129577,0.858622605776522
20.3,3.02531105623268,2.03620725029946,-0.036207250299459,11.0769929255483
20.4,3.36408741757287,2.01712478289183,-0.017124782891827,14.7827269883453
20.5,3.68690715500031,2.00979827998405,-0.009798279984055,16.0284556322464
20.6,3.98816381035779,2.00672464374437,-0.006724643744372,16.8275081700232
20.7,4.25274572094512,2.00541432453863,-0.005414324538629,16.1237607268469
20.8,4.47031629002671,2.00504365153062,-0.005043651530619,15.5373342641534
20.9,4.64013098510311,2.00487326344957,-0.00487326344957,16.0363537189145
21,4.77246618685492,2.00478209064931,-0.004782090649307,16.0199584919476
21.1,4.85730731844271,2.00447039527445,-0.004470395274449,15.9497294390265
21.2,4.91598818831747,2.00454707377658,-0.004547073776583,15.2715029901951
21.3,4.93224295859502,2.00461649896797,-0.004616498967973,14.9922173928721
21.4,4.91468914492998,2.00449862617276,-0.004498626172762,16.2136002566012
21.5,4.86516433719366,2.00443043575475,-0.004430435754746,15.7286889576557
21.6,4.79770780981552,2.00452203391961,-0.004522033919613,15.5960944157742
21.7,4.68950189761807,2.00450265573949,-0.004502655739489,15.8813797671349
21.8,4.57888595626573,2.00455686682226,-0.004556866822259,16.6731173558452
21.9,4.45208964572721,2.00446852494193,-0.004468524941933,15.7184976555271
22,4.29765186030825,2.00445562217033,-0.004455622170327,16.6787380842451
22.1,4.14822090986083,2.00443842351481,-0.004438423514809,16.3083733188837
22.2,3.99379829085906,2.00432976257061,-0.004329762570607,16.6086738356249
22.3,3.83054532279532,2.00431810694766,-0.004318106947657,16.6621514392896
22.4,3.68902843830992,2.00435867435929,-0.004358674359285,16.7052476442058
22.5,3.52202355246892,2.00429701120286,-0.004297011202864,16.7293489040817
22.6,3.38994195112284,2.00452578601113,-0.004525786011135,17.3910133039087
22.7,3.24199380100496,2.00433426832517,-0.004334268325168,16.862100048654
22.8,3.13642543558803,2.0042262043997,-0.004226204399703,17.7538611292389
22.9,3.01356805424024,2.0043313122048,-0.004331312204799,17.8746904625482
23,2.91393795188406,2.00444247393386,-0.004442473933855,17.7001153570797
23.1,2.84581190864105,2.00443092182185,-0.004430921821855,17.7361144967888
23.2,2.7634358331666,2.00447600572518,-0.00447600572518,17.3657322004333
23.3,2.73087696771981,2.00459156626748,-0.00459156626748,18.062000706383
23.4,2.71333582104221,2.00453371289992,-0.004533712899916,18.7100502163075
23.5,2.68658444863656,2.00444039167228,-0.004440391672282,17.4723844172349
23.6,2.69169487889354,2.00437866200496,-0.004378662004958,17.8343536621755
23.7,2.68918035935375,2.00453832927516,-0.004538329275165,18.5119742302993
23.8,2.70778805503644,2.00464424609111,-0.004644246091113,17.6498103093167
23.9,2.72467070575167,2.00461210125535,-0.004612101255352,17.9614431286294
24,2.74814535122291,2.00464038820376,-0.004640388203764,17.4088669921838
24.1,2.78532393729276,2.00454889311783,-0.004548893117827,18.1449543639463
24.2,2.8140153234599,2.00449392546491,-0.004493925464908,18.2413016015889
24.3,2.83730581595552,2.00463877529218,-0.00463877529218,18.0249367635046
24.4,2.84352555536402,2.00466867873875,-0.004668678738754,18.2844702932917
24.5,2.85145460914558,2.00464596367568,-0.004645963675681,17.8851950233083
24.6,2.85728414013781,2.00469270726951,-0.004692707269514,17.3845962767323
24.7,2.81805167468573,2.00448714176582,-0.004487141765818,17.3620246860168
24.8,2.77528656469713,2.00436545356603,-0.004365453566028,17.7112381364213
24.9,2.73101655137669,2.00453124179241,-0.004531241792415,18.0865717183339
25,2.64488594687652,2.00469977904775,-0.004699779047755,18.0446477039986
25.1,2.54101168246024,2.0045449805067,-0.004544980506702,18.0106817570234
25.2,2.40634423697165,2.00428212314933,-0.004282123149333,17.3913042525036
25.3,2.26288510927441,2.00439822469137,-0.004398224691371,18.5130722962928
25.4,2.06846777686324,2.00434962208533,-0.004349622085328,18.380359966667
25.5,1.8483869404406,2.00429882033576,-0.004298820335757,18.8185595302969
25.6,1.61327861584432,2.00413489012254,-0.004134890122544,19.1028044339299
