time,desired_D_v,hat{D_{v}},desired_D_r,hat{D_{r}},desired_psi,psi,e_{psi},tau_{r}
13.8,1.94018850753948,1.94939519872795,-1.59438813607099,-2.00592856580082,2.0943951023932,2.09798350397557,-0.003588401582372,-0.218297171353662
13.9,1.52507685130283,1.53423578114166,-0.885836789111311,-1.30644584047937,2.0943951023932,2.0978782318153,-0.003483129422101,-0.174425039707188
14,1.09812819316863,1.10799131405742,-0.164393732132109,-0.60137821848766,2.0943951023932,2.09785534298442,-0.003460240591228,-1.61654227857216
14.1,0.661652430721477,0.673055603036433,0.558058236162661,0.155211052464302,2.0943951023932,2.09788144543802,-0.003486343044828,-2.03498564528113
14.2,0.218034337212196,0.232007188470125,1.26987532035571,0.900594631696332,2.0943951023932,2.09796615538871,-0.003571052995515,0.436762513106477
14.3,-0.230282995094818,-0.216567417856939,1.95990971101496,1.5411388093326,2.0943951023932,2.09838653763203,-0.003991435238834,-1.42659395576453
14.4,-0.680815132037588,-0.670240023100625,2.61775005490087,2.23766996832696,2.0943951023932,2.09851016901218,-0.004115066618984,0.700683860758868
14.5,-1.13105356555201,-1.12116364558633,3.23393961151591,2.82783453732462,2.0943951023932,2.09855492658533,-0.004159824192136,-0.970984449681954
14.6,-1.57848314109257,-1.56807150878054,3.80016691036141,3.39952585022178,2.0943951023932,2.09812414738089,-0.003729044987696,-1.16421979586807
14.7,-2.02059951218688,-2.00779383943249,4.30942446753318,4.02299493402815,2.0943951023932,2.09778312061048,-0.003388018217287,-5.79701524079418
14.8,-2.45492649003239,-2.4422798153697,4.75613197379335,4.44586511900681,2.0943951023932,2.09802451856731,-0.003629416174118,-1.51823416551608
14.9,-2.87903315727435,-2.86776687036309,5.13622130675789,4.85436379212501,2.0943951023932,2.09829407637445,-0.003898973981251,-1.31712354022624
15,-3.29055061735407,-3.28247120525318,5.44718172292514,5.19319261174997,2.0943951023932,2.09850965915215,-0.004114556758954,-4.62824293163021
15.1,-3.68718825406307,-3.67732553853774,5.68806462498018,5.61359081106217,2.0943951023932,2.09873272894611,-0.004337626552917,-3.63886471526654
15.2,-4.06674938015417,-4.06012280532424,5.85944834930886,5.77759242007891,2.0943951023932,2.09927466418973,-0.004879561796536,-1.60261264393488
15.3,-4.42714615900716,-4.42212499200957,5.96336445091701,5.8950161458788,2.0943951023932,2.09949164373287,-0.005096541339677,-5.93945932480074
15.4,-4.76641368938163,-4.76481194812862,6.00318795145431,6.01084661540332,2.0943951023932,2.09935874329851,-0.004963640905318,-1.37515050229373
15.5,-5.08272315016134,-5.07815011774115,5.98349493544893,6.02501149170338,2.0943951023932,2.09905786562712,-0.004662763233929,-6.02937920831381
15.6,-5.37439390964589,-5.36802942925039,5.9098917066607,5.96503575927036,2.0943951023932,2.09915680038683,-0.004761697993633,0.824980832278555
15.7,-5.63990451231424,-5.63719709790323,5.78882042957994,5.94451591720069,2.0943951023932,2.09933845460261,-0.004943352209414,5.23281380186593
15.8,-5.87790246500038,-5.87678377315073,5.6273467624295,5.72177748813711,2.0943951023932,2.09958403704018,-0.005188934646983,-10.1450292362221
15.9,-6.08721275401226,-6.08744082851345,5.43293542289247,5.61129414426523,2.0943951023932,2.09947195947918,-0.005076857085986,-6.92819301920372
16,-6.2668450348121,-6.26707766837404,5.21321990531389,5.36575598676152,2.0943951023932,2.09946362565022,-0.005068523257025,-9.83817337114759
16.1,-6.41599944637782,-6.41558176536929,4.97577268151819,5.1216503616255,2.0943951023932,2.0994884505321,-0.005093348138902,-3.55337411275322
16.2,-6.5340710131964,-6.53537036288864,4.72788216410263,4.84429021221715,2.0943951023932,2.09962230315883,-0.005227200765631,-10.1506503377588
16.3,-6.6206526089187,-6.62239094777834,4.47634249286502,4.69456876280712,2.0943951023932,2.09965877769931,-0.005263675306118,-3.13874224784778
16.4,-6.67553646693002,-6.67602413095115,4.22726182795103,4.34093393729174,2.0943951023932,2.09976090924942,-0.005365806856227,1.85907974495446
16.5,-6.69871423439041,-6.70101849138947,3.98589430746197,4.13599734330576,2.0943951023932,2.09979891826135,-0.005403815868153,-10.9580886843244
16.6,-6.69037557756763,-6.68608767255336,3.75650016663739,3.89705747015476,2.0943951023932,2.09980395815511,-0.005408855761915,-0.40701329357624
16.7,-6.65090535744413,-6.64252862394562,3.54223773774882,3.72645225293413,2.0943951023932,2.09964221552624,-0.005247113133044,-3.75457155901417
16.8,-6.58087940553494,-6.58341738515528,3.34509017498074,3.51817581940634,2.0943951023932,2.09981256096018,-0.005417458566982,-3.12373761225684
16.9,-6.48105894052273,-6.48143903983132,3.16582879979219,3.2879534170364,2.0943951023932,2.09967520795994,-0.005280105566741,-0.394063907894956
17,-6.35238367661474,-6.35300170027939,3.00401396441048,3.21259569382056,2.0943951023932,2.09959981235715,-0.005204709963952,-3.79641648387298
17.1,-6.19596368437338,-6.19792267374487,2.85803331032919,3.02078701417681,2.0943951023932,2.09964921020623,-0.005254107813031,0.92914164204363
17.2,-6.01307007409393,-6.01304076028437,2.72517628167465,2.8727053863215,2.0943951023932,2.09960718766595,-0.005212085272756,-5.56026317302461
17.3,-5.80512458052448,-5.80732549538839,2.60174276667501,2.70699708113862,2.0943951023932,2.09960664303863,-0.005211540645431,-4.936095684268
17.4,-5.57368813578106,-5.57435986744567,2.48318281002931,2.60488186386272,2.0943951023932,2.0995388493605,-0.005143746967309,-3.61969322320863
17.5,-5.32044852464192,-5.3231486240375,2.36426348909385,2.41762372471827,2.0943951023932,2.09968130985843,-0.005286207465233,1.7287312933014
17.6,-5.04720722295542,-5.05148013154484,2.2392582997575,2.31939631787653,2.0943951023932,2.09961173042453,-0.005216628031336,-5.89289034990186
17.7,-4.75586552561628,-4.76088703799452,2.1021537732869,2.20396895830562,2.0943951023932,2.0992045470768,-0.004809444683602,-1.25702866290738
17.8,-4.44841007541496,-4.4501509255999,1.94686755974229,2.0581728301633,2.0943951023932,2.09891509272341,-0.004519990330214,-3.42023321312553
17.9,-4.12689790800826,-4.12860999626909,1.76747187965944,1.84387816950352,2.0943951023932,2.09909872744496,-0.004703625051764,0.389722074422528
18,-3.79344113127022,-3.80007672330318,1.55841607250432,1.68734923866796,2.0943951023932,2.09936490460064,-0.004969802207442,3.48181030782653
18.1,-3.45019135934098,-3.45696248479722,1.31474196272005,1.48805324729342,2.0943951023932,2.09943896383535,-0.005043861442155,-0.7950062937643
18.2,-3.09932402278509,-3.10990164623336,1.03228592250222,1.21291166958482,2.0943951023932,2.09930214641004,-0.004907044016845,5.59874215307563
18.3,-2.74302267639691,-2.75091369495566,0.707861830965783,0.940789298193218,2.0943951023932,2.09886443946644,-0.004469337073247,-3.84565146364427
18.4,-2.38346342535171,-2.3891461458693,0.339419604104491,0.571842918104973,2.0943951023932,2.09843598615932,-0.004040883766129,5.52830765216843
18.5,-2.02279958860918,-2.02909365021907,-0.073825413104596,0.177735722611112,2.0943951023932,2.09811982285497,-0.003724720461776,0.353876614024478
18.6,-1.66314671575027,-1.67104487660131,-0.531296157629142,-0.245777287763435,2.0943951023932,2.09775978533571,-0.003364682942514,4.4250187960089
18.7,-1.30656806979421,-1.31262987147296,-1.03099377651887,-0.7583851246945,2.0943951023932,2.09740683382255,-0.003011731429353,7.14523813415686
18.8,-0.955060684035553,-0.960938918396145,-1.56947594969605,-1.24313316911302,2.0943951023932,2.0972274879315,-0.002832385538309,-2.77035862535395
18.9,-0.610542095599819,-0.614427180826747,-2.14187478642727,-1.83307985008575,2.0943951023932,2.09743093883662,-0.003035836443424,2.36291876227476
19,-0.274837852289234,-0.280777620537974,-2.74195444009211,-2.41609144406146,2.0943951023932,2.09780955584355,-0.00341445345035,-2.97876891298466
19.1,0.050330117570002,0.044808006526276,-3.36220754211798,-3.02191728322278,2.0943951023932,2.0980293403823,-0.003634237989102,3.27832354294579
19.2,0.363354190102034,0.357344486976377,-3.99398852982707,-3.61863135065169,2.0943951023932,2.09813395641231,-0.003738854019114,1.43623633946509
