time,hat{D_{u}},hat{D_{v}},hat{D_{w}},hat{D_{q}},hat{D_{r}},x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
32.7,2.40522843887312,1.73867056933807,1.12007602755763,5.29304714755401,-4.25420172177489,-9.93139439308366,0.932263216125443,-13.0089752595427,0.002665654495501,0.004320176125702,-0.001613961048467,5.62342557023065,26.9476952974381,-12.7920933846361
32.8,2.42782671705561,1.89826257816208,1.18469941795466,5.61196199008167,-4.26429605701215,-9.91670922927051,1.08094900985069,-13.0343384057638,0.002830707131073,0.004625999843942,-0.000621272213444,32.6387033913962,9.72343692234814,13.4507859370971
32.9,2.66004526038967,2.03254187395984,1.23619509483079,5.63081197007534,-3.94757917521335,-9.899561574935,1.22998760212859,-13.0598007740016,0.00237595438789,0.00518802266416,-0.000625405230047,-1.0458330156406,36.7979646517432,-10.3240496814456
33,2.59122231550877,2.15559130312549,1.28425469015671,5.51476123971483,-3.43195747306863,-9.8801379515368,1.37880011358125,-13.0852921509458,0.001866827647485,0.006311880951491,-0.000274056336763,12.6079680626803,40.6123405392692,-4.63728431889495
33.1,2.61697132449785,2.26534069690268,1.30707590627951,5.4959105792087,-2.92774568391893,-9.85852945653845,1.5269651610337,-13.1107859999118,0.001698059227844,0.007034429144391,0.0010284575632,-18.5615997419898,36.2912429032284,2.02796141697023
33.2,2.9621685949462,2.3636390871119,1.32284517657712,5.42420681439129,-2.61695953438687,-9.83467881176887,1.67433136090654,-13.1362309794631,0.001979755152932,0.00736020693049,0.001911921397965,17.5059829744203,14.9683720258644,22.8233811480801
33.3,3.1221674313397,2.44360841776119,1.33285834260405,5.54670392113461,-2.07345341100261,-9.80842976663853,1.82164367966957,-13.1617073212986,0.00190963209956,0.007219584311672,0.003041694299551,2.83632413245729,0.428526862089495,-16.1535307322545
33.4,3.41090361459874,2.51281184444959,1.33194549695173,5.17860515420218,-1.52717409238457,-9.77992034103821,1.96823645138174,-13.1870621968752,0.002144766489197,0.007093257018443,0.005026950067476,27.9434223951516,26.4261795728944,2.33563808307289
33.5,3.5490818387293,2.55763622108083,1.32147127378545,4.69435857445241,-0.807027845675139,-9.74901105118127,2.11440076040413,-13.212359192453,0.002324540763958,0.007263385993483,0.006364117624481,25.8347086542822,4.61323229759692,4.00967630654016
33.6,3.69791747371177,2.59148496031855,1.315821758051,4.58659496356436,-0.383548299338425,-9.71574625532165,2.2600260578549,-13.2376142413381,0.002521271365785,0.007287585656342,0.00739062148822,51.8624329443791,-0.692271852983916,-10.7826785645227
33.7,3.97638866205644,2.62009621412913,1.28232756378494,4.28130554593732,0.389297392131322,-9.68026054332844,2.4048456641689,-13.2627712725448,0.002992168710731,0.006919303026989,0.007942403995361,-8.31982234020662,10.079396491874,-1.81029522037649
33.8,4.06458497952834,2.61689189886221,1.24137374384231,4.05818697219184,1.05608030156172,-9.6426272026967,2.54892861255195,-13.28783933319,0.003652212583139,0.006765772999173,0.00831481233239,24.9580430893956,-18.1033062577753,-4.99440169827021
33.9,4.26342491408789,2.61571590017966,1.18056380521842,3.52933939982827,1.71459850861197,-9.60278179918506,2.69270570872988,-13.3129174527501,0.004025557545615,0.006649499280067,0.008590633298411,0.126616243515379,43.669412168966,4.90487429307336
34,4.29582950496967,2.594620533667,1.11726498887654,3.01924566909992,2.34749888757526,-9.56080853113314,2.83592007512755,-13.3379817261472,0.004350900546237,0.007012586442452,0.008085837732392,-3.11829876923854,32.3727347405223,-7.33712440112888
34.1,4.52040169164441,2.54838851905683,1.04740611045161,2.59277696937028,2.90118753043688,-9.51689656569271,2.97817885420108,-13.3630125705045,0.005026889988904,0.007020256109533,0.006774487151564,-10.4676443688562,18.9998817887932,14.6259307947966
34.2,4.74542696632173,2.49844596196877,0.979846526500068,2.05664969382762,3.33188384683315,-9.47100508014978,3.11993302935348,-13.3880618642446,0.005582830870819,0.006695316892196,0.005393177961037,11.7449281676886,-0.384275981764781,-6.68689817102138
34.3,5.05435769294142,2.44040793703965,0.904511267099964,1.99097099607011,3.81421063201531,-9.42313005177237,3.26130970372899,-13.4131261333336,0.00587566303046,0.00627091678056,0.004489470475992,3.69243915344836,24.5027720659492,-3.06269738929375
34.4,4.79202981565492,2.36315548359281,0.816220775199254,1.3549009391619,4.29007209170794,-9.37303666997406,3.40270888460974,-13.4382816854002,0.005418841602545,0.006241711994865,0.003475576655261,10.6902051391791,34.1807862690138,-34.6916357361171
34.5,5.01828737485873,2.27486919937698,0.720989901520033,1.04264995245963,4.56649493566024,-9.32095359160336,3.54341799971601,-13.4634220406296,0.004941030546984,0.006026455209505,0.003129380507735,15.4642229534341,43.7989197096345,-15.1574736475037
34.6,5.17098380858273,2.17302443451994,0.622792800023889,0.6474383082181,4.76573598109715,-9.26690248113679,3.68312050056762,-13.4885243886032,0.004715380051575,0.006252277942274,0.001962462953241,-31.5348811321911,14.776695529005,-9.0684216889047
34.7,5.01844734658565,2.07449022256662,0.52841210430057,0.171811567327397,5.00455746426846,-9.21083745108592,3.82197887270133,-13.5136469396746,0.004536256211737,0.006254012267391,0.00107248739648,-10.4188993643698,10.4007336630612,-7.54485080018307
34.8,5.15214667401991,1.95946507496493,0.425977567574947,-0.168005344703427,5.10935801179117,-9.15295197634912,3.95951748925526,-13.5386817193461,0.004896930465383,0.005595687216904,0.001006571842364,-0.507860041482069,6.03968572361731,-12.6596258869857
34.9,5.25631520412432,1.83453417402748,0.329898901280866,-0.372375775010346,5.2379502024808,-9.09281187054622,4.0965313001679,-13.5637469113534,0.004854115720348,0.005273510982279,0.000732078350264,19.8871412549211,34.4295459276745,-19.9155552354016
35,5.21390043145073,1.70935612759726,0.235245616963996,-0.616958004932698,5.29050675710403,-9.0305394055343,4.23265580652914,-13.5888037056593,0.004755796112445,0.005441715907395,3.64637150918444E-05,1.69562943333733,29.0472857780269,6.26624526897706
35.1,4.96348918309775,1.58046075955169,0.149015477473307,-0.868874408923402,5.19758029995117,-8.96588864783424,4.36845491017969,-13.6139943166492,0.003937209550073,0.005095049132004,-0.000917614970483,4.78429763683709,55.0014134428132,-38.4867624860779
